공원명,공원구분,소재지지번주소,위도,경도,공원면적,관리기관명,제공기관코드,제공기관명
9호공원,소공원,충청남도 서천군 서천읍 군사리 529,36.077357,126.692572,906,충청남도 서천군청,4580000,충청남도 서천군
(종천2농단)1,소공원,충청남도 서천군 종천면 석촌리 산31,36.115727,126.706123,7158,충청남도 서천군청,4580000,충청남도 서천군
(김가공농단)월리공원,소공원,충청남도 서천군 서면 월리 산28-1,36.160631,126.5598126,6336,충청남도 서천군청,4580000,충청남도 서천군
군사공원(1호),기타,충청남도 서천군 서천읍 군사리 산6,36.079771,126.696314,192924,충청남도 서천군청,4580000,충청남도 서천군
장암공원,기타,충청남도 서천군 장항읍 신창리 422,36.010596,126.669634,134444,충청남도 서천군청,4580000,충청남도 서천군
배수지공원,기타,충청남도 서천군 장항읍 화천리 산22-2,36.017587,126.679915,35934,충청남도 서천군청,4580000,충청남도 서천군
1호공원,근린공원,충청남도 서천군 장항읍 송림리 산65,36.021103,126.669041,74957,충청남도 서천군청,4580000,충청남도 서천군
(산단)1호,근린공원,충청남도 서천군 장항읍 옥남리 200,36.038041,126.674809,11541,충청남도 서천군청,4580000,충청남도 서천군
(산단)2호,근린공원,충청남도 서천군 장항읍 옥남리 497,36.039632,126.6718202,11080,충청남도 서천군청,4580000,충청남도 서천군
(산단)3호,근린공원,충청남도 서천군 장항읍 옥남리 29-2,36.035841,126.6812376,26988,충청남도 서천군청,4580000,충청남도 서천군
(산단)4호,근린공원,충청남도 서천군 마서면 옥북리 738-65,36.041456,126.677683,32539,충청남도 서천군청,4580000,충청남도 서천군
사곡공원,체육공원,충청남도 서천군 서천읍 사곡리 산10-2,36.08904701,126.6902178,175134,충청남도 서천군청,4580000,충청남도 서천군
3호공원(서천읍),어린이공원,충청남도 서천군 서천읍 사곡리 306-1,36.082311,126.684856,1645,충청남도 서천군청,4580000,충청남도 서천군
5호공원(서천읍),어린이공원,충청남도 서천군 서천읍 군사리 623-2,36.07498779,126.6919439,6878,충청남도 서천군청,4580000,충청남도 서천군
8호공원(서천읍),어린이공원,충청남도 서천군 서천읍 군사리 858-1,36.076806,126.692663,2500,충청남도 서천군청,4580000,충청남도 서천군
구 역전공원,어린이공원,충청남도 서천군 서천읍 군사리 225-2,36.07858803,126.701513,8415,충청남도 서천군청,4580000,충청남도 서천군
미관광장 15호,기타,경기도 화성시 반송동 190-1,37.18898924,127.071847,894,,5530000,경기도 화성시
(신청사)어린이공원 2,어린이공원,충청남도 서천군 서천읍 군사리 60-5,,,1692,충청남도 서천군청,4580000,충청남도 서천군
장항 연안공원,소공원,충청남도 서천군 장항읍 원수리 303-3,36.00584594,126.7073617,1981,충청남도 서천군청,4580000,충청남도 서천군
(신청사) 소공원,소공원,충청남도 서천군 서천읍 군사리 51-8,,,5189,충청남도 서천군청,4580000,충청남도 서천군
여주근린공원,근린공원,경기도 여주시 상동 352,37.29395607,127.6404539,25449,경기도 여주시청,5700000,경기도 여주시
1호공원,어린이공원,경기도 여주시 상동 282-4,37.29580238,127.6395941,2540,경기도 여주시청,5700000,경기도 여주시
2호공원,어린이공원,경기도 여주시 하동 121-4,37.30114377,127.6288253,2220,경기도 여주시청,5700000,경기도 여주시
3호공원,어린이공원,경기도 여주시 창동 145,37.2942728,127.6334509,2687,경기도 여주시청,5700000,경기도 여주시
