순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
420,전라남도,고흥군,과역시외버스터미널,전남 고흥군 무궁화길 5-0,기타관광,교통시설,3252
421,전라남도,여수시,진남종합시장,전남 여수시 학동1길 10-0,쇼핑,시장,3249
422,전라남도,나주시,남평골프,전남 나주시 우진길 73-0,레저스포츠,육상레저스포츠,3223
423,전라남도,나주시,국립나주숲체원,전남 나주시 금성산길 116-0,자연관광,자연공원,3219
424,전라남도,담양군,담빛예술창고,전남 담양군 객사7길 75-0,문화관광,기타문화관광지,3217
425,전라남도,화순군,무등산양떼목장,전남 화순군 안양산로 537-0,기타관광,기타관광,3213
426,전라남도,화순군,한천자연휴양림,전남 화순군 죽헌로 719-0,자연관광,자연공원,3208
427,전라남도,강진군,청자다리,전남 강진군,기타관광,기타관광,3206
428,전라남도,목포시,삼학도공원,전남 목포시,문화관광,도시공원,3192
429,전라남도,여수시,중흥부두,전남 여수시,자연관광,자연경관(하천/해양),3182
430,전라남도,신안군,소금박물관,전남 신안군 지도증도로 1058-0,문화관광,전시시설,3167
431,전라남도,완도군,산양진항,전남 완도군 노화서로 563-49,자연관광,자연경관(하천/해양),3082
432,전라남도,나주시,나주영상테마파크,전남 나주시 덕음로 450-0,기타관광,기타관광,3080
433,전라남도,구례군,운조루,전남 구례군 운조루길 59-0,역사관광,역사유적지,3079
434,전라남도,여수시,소경도대합실,전남 여수시 어항단지로 18-5,자연관광,자연경관(하천/해양),3073
435,전라남도,강진군,영랑생가,전남 강진군 영랑생가길 15-0,역사관광,역사유적지,3071
436,전라남도,구례군,피아골,전남 구례군,자연관광,자연경관(산),3068
437,전라남도,나주시,나주은행나무수목원,전남 나주시 동촌로 236-51,문화관광,테마공원,3052
438,전라남도,영광군,법성포구,전남 영광군,자연관광,자연경관(하천/해양),3045
439,전라남도,담양군,담양시장,전남 담양군 담주4길 40-0,쇼핑,시장,3038
440,전라남도,장흥군,소등섬,전남 장흥군,자연관광,자연경관(하천/해양),3006
441,전라남도,완도군,약산당목대합실,전남 완도군 당목길 135-0,자연관광,자연경관(하천/해양),3001
442,전라남도,영광군,불갑저수지수변공원,전남 영광군,문화관광,도시공원,2995
443,전라남도,완도군,완도타워모노레일,전남 완도군 장보고대로 332-0,기타관광,기타관광,2975
444,전라남도,담양군,용마루길,전남 담양군,기타관광,기타관광,2970
445,전라남도,목포시,갓바위공원,전남 목포시,문화관광,도시공원,2963
446,전라남도,순천시,화포해변,전남 순천시,자연관광,자연경관(하천/해양),2958
447,전라남도,광양시,광양항,전남 광양시,자연관광,자연경관(하천/해양),2950
448,전라남도,순천시,순천만달밤야시장,전남 순천시,쇼핑,시장,2933
