영업상태명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,영업,전라남도 목포시 산정동 1744-17번지 2층 ,"전라남도 목포시 원산중앙로 38 (산정동,2층)",58639,일반조리판매,142865.3033,145727.8801
영업/정상,영업,"전라남도 목포시 상동 1159-13번지 1,2층(2층170) ","전라남도 목포시 미항로 131 (상동,1,2층(2층170))",58750,커피숍,148176.3743,144392.434
영업/정상,영업,전라남도 목포시 옥암동 990-8번지 ,전라남도 목포시 옥암로 82 (옥암동),58684,커피숍,147537.9183,145494.4605
영업/정상,영업,전라남도 목포시 호남동 1-1 ,전라남도 목포시 영산로 98 (호남동),58730,과자점,143770.2017,143784.9739
영업/정상,영업,전라남도 목포시 상동 175-24번지 ,전라남도 목포시 상동로 4 (상동),58642,커피숍,146623.3159,146052.0201
영업/정상,영업,전라남도 목포시 용해동 752-2번지 ,전라남도 목포시 양을로 263 (용해동),58613,패스트푸드,144898.351,146173.7502
영업/정상,영업,전라남도 목포시 옥암동 915-25번지 ,전라남도 목포시 옥암로 138 (옥암동),58657,기타 휴게음식점,147330.1593,146042.7035
영업/정상,영업,전라남도 목포시 대성동 83번지 ,전라남도 목포시 만세로48번길 17 (대성동),58722,과자점,143581.6453,144364.555
영업/정상,영업,전라남도 목포시 옥암동 1010-3 ,전라남도 목포시 옥암로54번길 32 (옥암동),58685,편의점,147945.3587,145374.3948
영업/정상,영업,전라남도 목포시 죽교동 580-37번지 ,전라남도 목포시 북항로 91 (죽교동),58719,일반조리판매,142696.2237,144832.1325
영업/정상,영업,전라남도 목포시 용당동 1088-6번지 ,전라남도 목포시 영산로 319 (용당동),58651,커피숍,145056.7342,145422.4149
영업/정상,영업,전라남도 목포시 용해동 975번지 번지포미주공2단지상가동101호 ,,,기타 휴게음식점,144840.0356,146905.3531
영업/정상,영업,전라남도 목포시 연산동 1269-4번지 ,전라남도 목포시 원산로145번길 6 (연산동),58633,기타 휴게음식점,143379.9601,145978.9398
